datetime,local_datetime,t,tcc,tp,weather_desc,wd,wd_deg,ws,hu,vs,vs_text,image,voltage,predicted_voltage
2025-04-30T13:00:00Z,2025-04-30 20:00:00,25,100,0.0,Berawan,NE,88,1.9,87,33123,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-2.830657169397753,-3.9589857611781456
2025-04-30T16:00:00Z,2025-04-30 23:00:00,25,100,0.0,Berawan,NE,72,0.6,82,34874,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-0.8476528602342377,-1.2996905133096115
2025-04-30T19:00:00Z,2025-05-01 02:00:00,24,100,0.5,Berawan,NE,59,2.0,90,24805,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-5.070462292379858,-4.798853390433432
2025-04-30T22:00:00Z,2025-05-01 05:00:00,23,99,0.0,Berawan,NE,64,2.6,94,22056,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-7.51539402871839,-6.365022757912416
2025-05-01T01:00:00Z,2025-05-01 08:00:00,27,89,0.0,Cerah Berawan,SE,178,1.8,83,35758,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,0.5931693250553352,0.4386698641000563
2025-05-01T04:00:00Z,2025-05-01 11:00:00,29,99,0.2,Berawan,W,286,6.1,73,29280,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,8.483172608610166,5.2370108722354916
2025-05-01T07:00:00Z,2025-05-01 14:00:00,28,100,0.6,Berawan,W,300,3.9,80,11159,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,3.885842563101477,3.9106029509475877
2025-05-01T10:00:00Z,2025-05-01 17:00:00,26,100,0.4,Berawan,NE,61,2.8,90,12028,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,-3.2065130541694167,-2.92636308490626
2025-05-01T13:00:00Z,2025-05-01 20:00:00,24,100,0.0,Berawan,NE,67,5.6,91,10642,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-4.713894877186988,-4.639367597989695
2025-05-01T16:00:00Z,2025-05-01 23:00:00,23,100,0.4,Berawan,NE,64,3.8,89,9236,< 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-4.851487991282806,-4.886909901726039
2025-05-01T19:00:00Z,2025-05-02 02:00:00,23,100,0.2,Berawan,NE,63,4.0,89,26434,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-4.992683538562492,-4.94860665949377
2025-05-01T22:00:00Z,2025-05-02 05:00:00,23,71,0.0,Cerah Berawan,NE,58,2.3,84,32358,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,-3.0031459507140497,-2.651463983706287
2025-05-02T01:00:00Z,2025-05-02 08:00:00,27,100,0.0,Berawan,NE,58,2.3,78,32358,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,3.338392454313208,2.677077494994413
2025-05-02T04:00:00Z,2025-05-02 11:00:00,28,100,0.0,Berawan,SW,258,6.2,77,32135,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,5.3773439510684415,5.092918797957862
2025-05-02T07:00:00Z,2025-05-02 14:00:00,28,100,0.2,Berawan,SW,258,6.2,77,32135,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,5.415016433497396,5.2370108722354916
2025-05-02T10:00:00Z,2025-05-02 17:00:00,25,100,0.2,Berawan,NE,65,4.6,89,9926,< 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,-3.2324575058481955,-3.879368011123457
2025-05-02T13:00:00Z,2025-05-02 20:00:00,24,100,0.0,Berawan,NE,65,4.6,90,9926,< 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-4.622566224066883,-4.7393666997410495
2025-05-02T16:00:00Z,2025-05-02 23:00:00,23,99,0.0,Berawan,NE,65,2.4,89,28335,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,-5.317150533480945,-5.048866030493966
