datetime,local_datetime,t,tcc,tp,weather_desc,wd,wd_deg,ws,hu,vs,vs_text,image,hour,day_of_year,voltage,weather_code,predicted_voltage
2025-05-14T03:00:00Z,2025-05-14 10:00:00,30,100,0.2,Berawan,SW,261,6.6,68,33950,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,10,134,12.079342830602247,0,5.640179373860992
2025-05-14T06:00:00Z,2025-05-14 13:00:00,30,100,0.0,Berawan,SW,247,4.9,68,38329,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,13,134,11.442347139765763,0,5.402939740226589
2025-05-14T09:00:00Z,2025-05-14 16:00:00,28,100,0.2,Berawan,SW,240,3.8,84,30329,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,16,134,1.6695377076201403,0,1.050560951599243
2025-05-14T12:00:00Z,2025-05-14 19:00:00,26,100,0.0,Berawan,NE,86,1.3,87,29792,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,19,134,-2.005394028718392,0,-1.1611839525268333
2025-05-14T15:00:00Z,2025-05-14 22:00:00,25,100,0.0,Berawan,NE,75,4.1,77,31249,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,22,134,2.6831693250553315,0,2.963896723939013
2025-05-14T18:00:00Z,2025-05-15 01:00:00,24,100,0.0,Berawan,NE,80,5.4,76,16347,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,1,135,2.7731726086101673,0,3.08747613575116
2025-05-14T21:00:00Z,2025-05-15 04:00:00,24,99,0.0,Berawan,NE,77,8.9,75,14008,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,4,135,4.685842563101481,0,4.526922300803076
2025-05-15T00:00:00Z,2025-05-15 07:00:00,27,99,0.0,Berawan,NE,75,4.1,76,16165,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,7,135,4.983486945830583,0,4.532392015132003
2025-05-15T03:00:00Z,2025-05-15 10:00:00,29,100,0.7,Berawan,W,275,4.1,70,20166,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,10,135,9.336105122813013,0,6.105105220936572
2025-05-15T06:00:00Z,2025-05-15 13:00:00,28,46,1.1,Hujan Ringan,W,285,9.0,79,16971,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/hujan ringan-am.svg,13,135,5.708512008717195,3,5.24533091771476
2025-05-15T09:00:00Z,2025-05-15 16:00:00,28,90,0.0,Cerah Berawan,NW,352,2.4,79,30403,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,16,135,3.5273164614375077,2,3.795327070119074
2025-05-15T12:00:00Z,2025-05-15 19:00:00,25,98,0.0,Berawan,NE,67,5.9,83,18298,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,19,135,0.1768540492859465,0,0.6935905119065192
2025-05-15T15:00:00Z,2025-05-15 22:00:00,25,100,0.0,Berawan,NE,72,6.4,76,32994,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,22,135,3.968392454313207,0,3.754277903844782
2025-05-15T18:00:00Z,2025-05-16 01:00:00,24,100,0.0,Berawan,NE,70,6.3,76,32601,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,1,136,2.707343951068445,0,3.0146735934970024
2025-05-15T21:00:00Z,2025-05-16 04:00:00,24,87,0.0,Cerah Berawan,NE,70,6.6,77,34318,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,4,136,2.3350164334973975,2,2.8748903289535286
2025-05-16T00:00:00Z,2025-05-16 07:00:00,26,87,0.1,Cerah Berawan,E,91,3.9,77,18548,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,7,136,3.3575424941518044,2,3.808023629768814
2025-05-16T03:00:00Z,2025-05-16 10:00:00,29,59,0.1,Cerah,SW,270,9.2,74,35776,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,10,136,8.757433775933118,1,7.499606874287731
2025-05-16T06:00:00Z,2025-05-16 13:00:00,30,99,0.1,Berawan,SW,270,9.2,71,35776,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,13,136,11.322849466519054,0,7.448937613561994
2025-05-16T09:00:00Z,2025-05-16 16:00:00,29,57,0.1,Cerah,NE,62,1.3,77,29629,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,16,136,4.908395184895761,1,4.534749281980657
2025-05-16T12:00:00Z,2025-05-16 19:00:00,26,97,0.0,Berawan,NE,62,1.3,82,29629,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,19,136,-0.09246074026705742,0,0.28849254637577604
2025-05-16T15:00:00Z,2025-05-16 22:00:00,25,100,0.0,Berawan,NE,73,4.7,75,21056,> 10 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,22,136,4.20312975378431,0,4.053655742857167
